regressor_type,emotion_dimension,feature_group_criteria,group_id,hyperparams_json,score
random_forest,Valence,participant,0.0,"""{\""max_depth\"": 90, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 1, \""min_samples_split\"": 5, \""n_estimators\"": 200}""",-2.5388942473845595
random_forest,Arousal,participant,0.0,"""{\""max_depth\"": 50, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-2.1171799370929785
random_forest,Dominance,participant,0.0,"""{\""max_depth\"": 90, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 4, \""min_samples_split\"": 10, \""n_estimators\"": 200}""",-1.9272529256031574
random_forest,Liking,participant,0.0,"""{\""max_depth\"": null, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 1, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-1.0155650000000012
xgboost_regressor,Valence,participant,0.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 6, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-2.6461092438697813
xgboost_regressor,Arousal,participant,0.0,"""{\""colsample_bytree\"": 1, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 2, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-2.348694020271301
xgboost_regressor,Dominance,participant,0.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 2, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-2.473594025611878
xgboost_regressor,Liking,participant,0.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 4, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-1.5663440990447999
gradientboost_regressor,Valence,participant,0.0,"""{\""max_depth\"": 5, \""max_features\"": 9, \""min_samples_leaf\"": 65, \""min_samples_split\"": 1100, \""n_estimators\"": 10, \""subsample\"": 0.6}""",-2.6096849369544888
gradientboost_regressor,Arousal,participant,0.0,"""{\""max_depth\"": 5, \""max_features\"": 9, \""min_samples_leaf\"": 30, \""min_samples_split\"": 650, \""n_estimators\"": 10, \""subsample\"": 0.6}""",-2.0686280948181164
gradientboost_regressor,Dominance,participant,0.0,"""{\""max_depth\"": 5, \""max_features\"": 7, \""min_samples_leaf\"": 65, \""min_samples_split\"": 1100, \""n_estimators\"": 10, \""subsample\"": 0.6}""",-2.045334376884012
gradientboost_regressor,Liking,participant,0.0,"""{\""max_depth\"": 5, \""max_features\"": 9, \""min_samples_leaf\"": 65, \""min_samples_split\"": 1550, \""n_estimators\"": 10, \""subsample\"": 0.7}""",-1.0348805583506082
svr_regressor,Valence,participant,0.0,"""{\""C\"": 1, \""gamma\"": 0.0001, \""kernel\"": \""linear\""}""",-3.0538888841568417
svr_regressor,Arousal,participant,0.0,"""{\""C\"": 1, \""gamma\"": 0.0001, \""kernel\"": \""rbf\""}""",-1.9427024137703448
svr_regressor,Dominance,participant,0.0,"""{\""C\"": 1, \""gamma\"": 0.0001, \""kernel\"": \""rbf\""}""",-1.8639823678970586
svr_regressor,Liking,participant,0.0,"""{\""C\"": 1, \""gamma\"": 0.0001, \""kernel\"": \""linear\""}""",-0.9704994410510681
random_forest,Valence,participant,1.0,"""{\""max_depth\"": 10, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-2.822560441661621
random_forest,Arousal,participant,1.0,"""{\""max_depth\"": 50, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 10, \""n_estimators\"": 200}""",-2.6740273496058427
random_forest,Dominance,participant,1.0,"""{\""max_depth\"": 50, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 1, \""min_samples_split\"": 10, \""n_estimators\"": 200}""",-2.632470229794259
random_forest,Liking,participant,1.0,"""{\""max_depth\"": null, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 10, \""n_estimators\"": 200}""",-3.2312485127544166
xgboost_regressor,Valence,participant,1.0,"""{\""colsample_bytree\"": 1, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 6, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-2.885756495475769
xgboost_regressor,Arousal,participant,1.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 10, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-3.0015157785415645
xgboost_regressor,Dominance,participant,1.0,"""{\""colsample_bytree\"": 1, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 0, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-2.7152798767089843
xgboost_regressor,Liking,participant,1.0,"""{\""colsample_bytree\"": 0.5, \""gamma\"": 7, \""max_depth\"": 3, \""min_child_weight\"": 6, \""reg_alpha\"": 40, \""reg_lambda\"": 0}""",-3.6234745366573335
gradientboost_regressor,Valence,participant,1.0,"""{\""max_depth\"": 5, \""max_features\"": 7, \""min_samples_leaf\"": 30, \""min_samples_split\"": 650, \""n_estimators\"": 10, \""subsample\"": 0.6}""",-2.664263713072702
