regressor_type,emotion_dimension,feature_group_criteria,group_id,hyperparams_json,score
random forest regress,Valence,participant,0.0,"""{\""max_depth\"": 10, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 1, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-2.5705393750000014
random forest regress,Arousal,participant,0.0,"""{\""max_depth\"": 50, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 5, \""n_estimators\"": 200}""",-2.1205844540259635
random forest regress,Dominance,participant,0.0,"""{\""max_depth\"": 50, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 4, \""min_samples_split\"": 5, \""n_estimators\"": 200}""",-1.926249144860654
random forest regress,Liking,participant,0.0,"""{\""max_depth\"": 50, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 1, \""min_samples_split\"": 2, \""n_estimators\"": 900}""",-1.0289919444444435
random forest regress,Valence,participant,1.0,"""{\""max_depth\"": null, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-2.8122582504555185
random forest regress,Arousal,participant,1.0,"""{\""max_depth\"": 50, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 5, \""n_estimators\"": 200}""",-2.6636350874631667
random forest regress,Dominance,participant,1.0,"""{\""max_depth\"": null, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 1, \""min_samples_split\"": 10, \""n_estimators\"": 200}""",-2.6406775187810227
random forest regress,Liking,participant,1.0,"""{\""max_depth\"": 10, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-3.244090876146488
random forest regress,Valence,participant,2.0,"""{\""max_depth\"": 50, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 1, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-1.392074999999999
random forest regress,Arousal,participant,2.0,"""{\""max_depth\"": null, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 10, \""n_estimators\"": 200}""",-1.2963962371858955
random forest regress,Dominance,participant,2.0,"""{\""max_depth\"": 50, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 1, \""min_samples_split\"": 2, \""n_estimators\"": 1600}""",-1.0413409375000025
random forest regress,Liking,participant,2.0,"""{\""max_depth\"": null, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 5, \""n_estimators\"": 200}""",-1.012153564789323
random forest regress,Valence,participant,3.0,"""{\""max_depth\"": 10, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-2.344088305809522
random forest regress,Arousal,participant,3.0,"""{\""max_depth\"": 90, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 10, \""n_estimators\"": 200}""",-1.8300752492575492
random forest regress,Dominance,participant,3.0,"""{\""max_depth\"": 90, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-1.8013704584575432
random forest regress,Liking,participant,3.0,"""{\""max_depth\"": 90, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 4, \""min_samples_split\"": 10, \""n_estimators\"": 200}""",-2.047277629657279
random forest regress,Valence,participant,4.0,"""{\""max_depth\"": 10, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 10, \""n_estimators\"": 200}""",-1.995454203510009
random forest regress,Arousal,participant,4.0,"""{\""max_depth\"": 50, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 1, \""min_samples_split\"": 2, \""n_estimators\"": 1600}""",-1.6294248437499959
random forest regress,Dominance,participant,4.0,"""{\""max_depth\"": 90, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 10, \""n_estimators\"": 200}""",-2.384706133235454
random forest regress,Liking,participant,4.0,"""{\""max_depth\"": 10, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 10, \""n_estimators\"": 200}""",-2.1702601211954944
random forest regress,Valence,participant,5.0,"""{\""max_depth\"": 10, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-1.417974682415129
random forest regress,Arousal,participant,5.0,"""{\""max_depth\"": 50, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-1.275269857397965
random forest regress,Dominance,participant,5.0,"""{\""max_depth\"": 50, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-1.7715548145524493
random forest regress,Liking,participant,5.0,"""{\""max_depth\"": null, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 2, \""n_estimators\"": 200}""",-1.6257665046567502
random forest regress,Valence,participant,6.0,"""{\""max_depth\"": 90, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 8, \""min_samples_split\"": 10, \""n_estimators\"": 200}""",-1.9079147301287922
random forest regress,Arousal,participant,6.0,"""{\""max_depth\"": 10, \""max_features\"": \""sqrt\"", \""min_samples_leaf\"": 4, \""min_samples_split\"": 10, \""n_estimators\"": 200}""",-1.8550272978867972
